Source,Target,StartTime,EndTime,Duration
S5,N14,00:00:00,00:11:00,660
S5,N15,00:00:00,00:06:35,395
S5,N20,00:00:00,00:08:30,510
S5,N23,00:00:00,00:10:15,615
S5,N24,00:00:00,00:07:35,455
S6,N12,00:00:00,00:02:40,160
S6,N13,00:00:00,00:10:10,610
S6,N14,00:00:00,00:04:50,290
S6,N16,00:00:00,00:09:15,555
S6,N17,00:00:00,00:06:25,385
S6,N18,00:00:00,00:03:35,215
S6,N19,00:00:00,00:10:40,640
S6,N20,00:00:00,00:01:35,95
S6,N21,00:00:00,00:07:00,420
S6,N22,00:00:00,00:06:20,380
S6,N23,00:00:00,00:03:55,235
S6,N24,00:00:00,00:00:40,40
S6,N30,00:00:00,00:06:15,375
S6,N36,00:00:00,00:04:45,285
S7,N13,00:00:00,00:04:10,250
S7,N16,00:00:00,00:02:50,170
S7,N19,00:00:00,00:04:05,245
S7,N21,00:00:00,00:00:45,45
S7,N28,00:00:00,00:11:45,705
S7,N32,00:00:00,00:04:30,270
S7,N34,00:00:00,00:03:35,215
S8,N28,00:00:00,00:05:40,340
S8,N31,00:00:00,00:07:10,430
S9,N31,00:00:00,00:01:00,60
S17,N3,00:00:00,00:04:15,255
S17,N11,00:00:00,00:05:20,320
S5,N18,00:00:10,00:09:55,585
S5,N17,00:00:15,00:12:50,755
S16,N11,00:00:25,00:11:20,655
S7,N31,00:01:00,00:12:55,715
S6,N32,00:01:10,00:11:45,635
S5,N30,00:01:15,00:12:15,660
S4,N15,00:01:50,00:13:05,675
S5,N21,00:01:50,00:12:55,665
S5,N22,00:02:00,00:12:10,610
S4,N24,00:02:20,00:14:00,700
S5,N12,00:03:00,00:08:40,340
S6,N34,00:03:00,00:08:30,330
S5,N36,00:03:05,00:10:45,460
S5,N16,00:03:10,00:15:45,755
S16,N3,00:03:55,00:08:50,295
S4,N23,00:04:00,00:16:35,755
S5,N13,00:04:05,00:16:05,720
S4,N20,00:04:25,00:14:40,615
S5,N19,00:05:05,00:17:30,745
S4,N18,00:05:15,00:15:55,640
S4,N14,00:05:20,00:17:00,700
S6,N28,00:05:45,00:17:20,695
S4,N17,00:06:50,00:19:20,750
S4,N30,00:06:50,00:18:05,675
S3,N15,00:07:20,00:19:15,715
S4,N22,00:07:25,00:17:50,625
S4,N21,00:07:30,00:18:35,665
S6,N31,00:07:35,00:17:50,615
S5,N32,00:07:50,00:19:15,685
S3,N24,00:08:00,00:20:05,725
S4,N36,00:08:05,00:16:15,490
S5,N34,00:08:50,00:12:35,225
S15,N11,00:09:00,00:17:20,500
S4,N16,00:09:35,00:22:15,760
S3,N20,00:09:45,00:20:30,645
S4,N13,00:10:10,00:21:45,695
S3,N23,00:10:15,00:22:50,755
S3,N18,00:10:45,00:21:40,655
S3,N14,00:11:10,00:22:55,705
S4,N12,00:11:15,00:16:10,295
S4,N19,00:11:30,00:24:05,755
S5,N28,00:12:25,00:22:00,575
S3,N30,00:12:40,00:23:40,660
S3,N22,00:13:05,00:23:10,605
S2,N15,00:13:10,00:25:20,730
S5,N26,00:13:15,00:18:20,305
S3,N17,00:13:20,00:25:55,755
S3,N21,00:13:20,00:24:05,645
S3,N36,00:13:25,00:21:20,475
S2,N24,00:14:00,00:26:10,730
S4,N32,00:14:10,00:26:30,740
S5,N31,00:15:05,00:21:10,365
S2,N20,00:15:20,00:26:10,650
S3,N16,00:16:00,00:28:25,745
S3,N13,00:16:25,00:26:50,625
S2,N18,00:16:30,00:27:10,640
S2,N23,00:16:35,00:29:10,755
S2,N14,00:17:10,00:28:30,680
S3,N12,00:17:35,00:25:15,460
S14,N11,00:17:40,00:23:55,375
S3,N19,00:17:55,00:30:15,740
S4,N26,00:18:05,00:28:10,605
S2,N30,00:18:40,00:28:50,610
S2,N22,00:19:05,00:28:05,540
S1,N15,00:19:10,00:31:20,730
S2,N36,00:19:10,00:25:55,405
S26,N15,00:19:10,00:31:20,730
S2,N21,00:19:25,00:29:00,575
S2,N17,00:19:45,00:32:15,750
S5,N35,00:20:00,00:30:25,625
S1,N24,00:20:05,00:32:10,725
S26,N24,00:20:05,00:32:10,725
S3,N32,00:20:30,00:33:00,750
S4,N28,00:21:00,00:24:10,190
S1,N20,00:21:10,00:31:30,620
S26,N20,00:21:10,00:31:30,620
S3,N0,00:22:10,00:28:00,350
S2,N16,00:22:25,00:33:55,690
S1,N18,00:22:30,00:32:15,585
S26,N18,00:22:30,00:32:15,585
S5,N33,00:22:50,00:32:30,580
S1,N23,00:22:55,00:35:05,730
S26,N23,00:22:55,00:35:05,730
S2,N13,00:23:10,00:31:00,470
S1,N14,00:23:20,00:33:45,625
S26,N14,00:23:20,00:33:45,625
S2,N12,00:23:25,00:34:00,635
S3,N26,00:23:40,00:36:00,740
S3,N29,00:24:05,00:27:20,195
S2,N19,00:24:30,00:35:30,660
S1,N30,00:25:00,00:33:20,500
S26,N30,00:25:00,00:33:20,500
S13,N11,00:25:10,00:32:05,415
S4,N35,00:25:20,00:37:50,750
S25,N15,00:25:20,00:37:05,705
S1,N22,00:25:35,00:32:10,395
S26,N22,00:25:35,00:32:10,395
S1,N36,00:25:50,00:29:25,215
S26,N36,00:25:50,00:29:25,215
S1,N21,00:26:00,00:33:05,425
S26,N21,00:26:00,00:33:05,425
S1,N17,00:26:10,00:37:50,700
S26,N17,00:26:10,00:37:50,700
S25,N24,00:26:15,00:37:45,690
S2,N0,00:26:50,00:37:40,650
S2,N32,00:27:15,00:38:10,655
S25,N20,00:27:15,00:36:25,550
S2,N29,00:27:45,00:38:05,620
S4,N33,00:27:45,00:40:15,750
S17,N33,00:28:40,00:38:15,575
S2,N2,00:28:50,00:37:40,530
S25,N18,00:28:50,00:36:35,465
S1,N12,00:29:20,00:41:40,740
S25,N23,00:29:20,00:40:30,670
S26,N12,00:29:20,00:41:40,740
S1,N16,00:29:25,00:38:10,525
S26,N16,00:29:25,00:38:10,525
S14,N9,00:29:50,00:38:00,490
S25,N14,00:29:50,00:38:05,495
S2,N26,00:30:00,00:42:05,725
S1,N1,00:30:50,00:40:15,565
S26,N1,00:30:50,00:40:15,565
S12,N11,00:31:25,00:40:55,570
S24,N15,00:31:35,00:42:25,650
S1,N19,00:32:15,00:38:50,395
S3,N35,00:32:15,00:43:15,660
S26,N19,00:32:15,00:38:50,395
S1,N0,00:32:35,00:45:05,750
S24,N24,00:32:35,00:42:50,615
S25,N30,00:32:35,00:36:05,210
S26,N0,00:32:35,00:45:05,750
S25,N17,00:33:00,00:42:25,565
S1,N29,00:33:15,00:45:40,745
S26,N29,00:33:15,00:45:40,745
S16,N33,00:33:25,00:45:50,745
S17,N35,00:33:30,00:35:50,140
S1,N2,00:33:50,00:46:00,730
S26,N2,00:33:50,00:46:00,730
S24,N20,00:33:55,00:40:20,385
S3,N33,00:34:35,00:45:45,670
S13,N9,00:34:45,00:46:40,715
S12,N3,00:35:05,00:42:15,430
S16,N35,00:35:05,00:46:25,680
S14,N25,00:35:25,00:45:25,600
S25,N12,00:35:40,00:47:55,735
S1,N32,00:36:00,00:40:35,275
S26,N32,00:36:00,00:40:35,275
S25,N1,00:36:10,00:48:20,730
S24,N23,00:36:15,00:44:40,505
S24,N18,00:36:55,00:38:45,110
S11,N11,00:37:20,00:49:05,705
S1,N26,00:37:50,00:46:05,495
S26,N26,00:37:50,00:46:05,495
S13,N5,00:38:05,00:48:45,640
S23,N15,00:38:15,00:46:45,510
S1,N4,00:38:55,00:47:45,530
S26,N4,00:38:55,00:47:45,530
S25,N0,00:39:10,00:50:40,690
S1,N27,00:39:30,00:42:20,170
S26,N27,00:39:30,00:42:20,170
S23,N24,00:39:35,00:46:40,425
S25,N29,00:39:50,00:51:30,700
S25,N2,00:40:05,00:52:15,730
S11,N3,00:40:10,00:51:25,675
S15,N33,00:40:15,00:51:30,675
S13,N25,00:40:30,00:53:00,750
S15,N35,00:40:40,00:53:10,750
S12,N9,00:40:50,00:53:15,745
S25,N27,00:41:50,00:53:05,675
S24,N1,00:42:25,00:54:35,730
