Source,Target,StartTime,EndTime,Duration
Satellite 2,GS1,01-Jan-2024 00:00:00,01-Jan-2024 00:06:00,360
Satellite 2,N5,01-Jan-2024 00:00:00,01-Jan-2024 00:09:00,540
Satellite 2,N6,01-Jan-2024 00:00:00,01-Jan-2024 00:02:00,120
Satellite 2,N11,01-Jan-2024 00:00:00,01-Jan-2024 00:02:00,120
Satellite 11,N7,01-Jan-2024 00:00:00,01-Jan-2024 00:08:00,480
Satellite 11,N8,01-Jan-2024 00:00:00,01-Jan-2024 00:06:00,360
Satellite 11,N9,01-Jan-2024 00:00:00,01-Jan-2024 00:08:00,480
Satellite 11,N10,01-Jan-2024 00:00:00,01-Jan-2024 00:10:00,600
Satellite 11,Main_IoT,01-Jan-2024 00:00:00,01-Jan-2024 00:04:00,240
Satellite 11,N2,01-Jan-2024 00:01:00,01-Jan-2024 00:11:00,600
Satellite 11,N4,01-Jan-2024 00:01:00,01-Jan-2024 00:12:00,660
Satellite 11,N3,01-Jan-2024 00:02:00,01-Jan-2024 00:09:00,420
Satellite 11,N6,01-Jan-2024 00:04:00,01-Jan-2024 00:09:00,300
Satellite 4,N6,01-Jan-2024 00:05:00,01-Jan-2024 00:16:00,660
Satellite 4,N2,01-Jan-2024 00:06:00,01-Jan-2024 00:14:00,480
Satellite 4,N3,01-Jan-2024 00:06:00,01-Jan-2024 00:16:00,600
Satellite 4,N4,01-Jan-2024 00:06:00,01-Jan-2024 00:10:00,240
Satellite 4,GS1,01-Jan-2024 00:08:00,01-Jan-2024 00:20:00,720
Satellite 4,N5,01-Jan-2024 00:08:00,01-Jan-2024 00:16:00,480
Satellite 4,N9,01-Jan-2024 00:08:00,01-Jan-2024 00:16:00,480
Satellite 4,N11,01-Jan-2024 00:08:00,01-Jan-2024 00:19:00,660
Satellite 1,N4,01-Jan-2024 00:21:00,01-Jan-2024 00:31:00,600
Satellite 1,N10,01-Jan-2024 00:24:00,01-Jan-2024 00:29:00,300
Satellite 1,N2,01-Jan-2024 00:25:00,01-Jan-2024 00:32:00,420
Satellite 1,N6,01-Jan-2024 00:26:00,01-Jan-2024 00:35:00,540
Satellite 1,N3,01-Jan-2024 00:27:00,01-Jan-2024 00:33:00,360
Satellite 10,Main_IoT,01-Jan-2024 00:27:00,01-Jan-2024 00:34:00,420
Satellite 10,N8,01-Jan-2024 00:29:00,01-Jan-2024 00:36:00,420
Satellite 10,N7,01-Jan-2024 00:30:00,01-Jan-2024 00:39:00,540
Satellite 1,GS1,01-Jan-2024 00:31:00,01-Jan-2024 00:39:00,480
Satellite 1,N5,01-Jan-2024 00:31:00,01-Jan-2024 00:43:00,720
Satellite 1,N11,01-Jan-2024 00:32:00,01-Jan-2024 00:34:00,120
Satellite 10,N10,01-Jan-2024 00:32:00,01-Jan-2024 00:41:00,540
Satellite 10,N2,01-Jan-2024 00:34:00,01-Jan-2024 00:41:00,420
Satellite 10,N4,01-Jan-2024 00:34:00,01-Jan-2024 00:43:00,540
Satellite 10,N9,01-Jan-2024 00:35:00,01-Jan-2024 00:36:00,60
Satellite 6,N4,01-Jan-2024 00:37:00,01-Jan-2024 00:45:00,480
Satellite 6,N2,01-Jan-2024 00:38:00,01-Jan-2024 00:48:00,600
Satellite 6,N6,01-Jan-2024 00:38:00,01-Jan-2024 00:50:00,720
Satellite 6,N3,01-Jan-2024 00:39:00,01-Jan-2024 00:49:00,600
Satellite 6,N10,01-Jan-2024 00:39:00,01-Jan-2024 00:46:00,420
Satellite 6,N9,01-Jan-2024 00:40:00,01-Jan-2024 00:50:00,600
Satellite 6,N11,01-Jan-2024 00:41:00,01-Jan-2024 00:53:00,720
Satellite 6,GS1,01-Jan-2024 00:42:00,01-Jan-2024 00:53:00,660
Satellite 6,N5,01-Jan-2024 00:43:00,01-Jan-2024 00:48:00,300
Satellite 6,N7,01-Jan-2024 00:43:00,01-Jan-2024 00:47:00,240
Satellite 6,N8,01-Jan-2024 00:45:00,01-Jan-2024 00:50:00,300
Satellite 3,N4,01-Jan-2024 00:55:00,01-Jan-2024 01:00:00,300
Satellite 3,N10,01-Jan-2024 00:58:00,01-Jan-2024 01:00:00,120
Satellite 3,N2,01-Jan-2024 00:59:00,01-Jan-2024 01:00:00,60
Satellite 12,Main_IoT,01-Jan-2024 00:59:00,01-Jan-2024 01:00:00,60
